Contestant,Austria,Iceland,Azerbaijan,San Marino,Czech Republic,Ireland,Georgia,Bosnia and Herzegovina,Malta,Spain,Finland,Switzerland,Denmark,France,Moldova,Armenia,Cyprus,Bulgaria,Netherlands,Latvia,Israel,Belarus,Germany,Russia,Norway,Australia,Belgium,United Kingdom,Croatia,Greece,Lithuania,Serbia,Macedonia,Albania,Estonia,Ukraine,Italy,Poland,Slovenia,Hungary,Montenegro,Sweden,Year
Belgium,5,3,,,2,12,10,,,,,10,8,,,4,,10,4,,6,4,5,,5,12,,,,,5,,4,,,10,,,8,,3,,2016
Czech Republic,4,5,,,,2,,6,,,3,,,,,1,,,,,,,,,,,1,,10,,,,,,,,,4,,2,,3,2016
Netherlands,,12,,4,7,8,,,,3,10,5,7,7,,,,2,,3,,,4,,6,3,4,,,,,5,2,,6,,4,,1,6,,5,2016
Azerbaijan,,,,,,,,1,,2,,,,,,,2,,1,,,2,,10,,,,,,1,,,1,,,7,,,,7,,10,2016
Hungary,,,4,2,10,,,,,10,,,,,,,4,,,,,,,1,,,,,5,3,,,,1,,2,,,3,,7,,2016
Italy,,,,10,,6,,,8,5,2,2,,12,,,3,,6,,,,3,,12,,10,,3,,,,,8,,,,,,,,,2016
Israel,,,3,,,4,3,,1,1,7,8,2,,,,5,,7,2,,,12,,3,10,2,3,7,,6,7,5,3,,6,8,7,2,,,,2016
Bulgaria,,,8,,,10,,3,10,,,1,6,10,,7,,,,1,7,1,,,8,8,6,5,,,2,4,10,4,,1,,3,10,,2,,2016
Sweden,8,6,,,12,5,6,,,,12,,4,5,6,,,,10,8,,8,10,,,,,,,,,,,,12,4,2,,,4,,,2016
Germany,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
France,7,2,,,5,3,4,7,6,7,1,,,,,12,7,,5,,8,,,7,,6,8,6,8,6,1,,,10,1,,7,1,,,5,8,2016
Poland,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,1,,2016
Australia,12,10,7,,,,8,10,3,8,8,12,10,6,10,5,10,8,12,5,10,6,6,2,10,,12,8,12,7,12,6,8,12,10,5,6,10,6,12,4,12,2016
Cyprus,,,,5,,,,,5,,,,,,2,6,,,,,,,,4,,,,7,1,8,,,,,4,,1,,,,,,2016
Serbia,,,,,,,,8,,,,,,,,,,5,,,,,,,,,,2,2,,,,7,,,,,,5,,6,,2016
Lithuania,1,,5,,3,,5,,,,6,7,5,,4,,,1,,10,1,10,1,,2,7,,4,,,,8,,,5,12,,2,,3,,2,2016
Croatia,6,7,,,8,,2,4,,,,,,,1,,1,,,,3,,,,,1,,1,,,,,6,,,,,,,,,,2016
Russia,3,8,12,7,,,,5,4,4,,,,1,7,2,12,6,,7,,12,,,,,,,6,12,,1,,7,,,,,,,8,6,2016
Spain,,,1,,,,,,2,,,,1,3,8,3,,4,,,4,,,,7,5,,,,,,,,6,,,12,5,,5,,1,2016
Latvia,,,,,1,1,7,,,,,3,,,,,,,,,5,,2,3,,,,,,,7,,3,,8,8,,6,7,8,,,2016
Ukraine,,,10,12,,,12,12,,,,6,12,,12,,,,3,12,12,7,7,,4,2,3,10,,2,8,12,12,,7,,10,12,12,,,,2016
Malta,10,4,6,3,6,,,,,6,5,,,4,3,8,6,7,,4,,5,,8,,,,,,4,,10,,2,2,,5,,,10,12,7,2016
Georgia,,,,6,,,,,,,,,,,,10,,3,,,,,8,5,,,7,12,,5,10,,,,,3,3,8,,,,,2016
Austria,,1,,1,,,,,,,4,4,,8,,,,,8,,,,,,,,5,,,,,,,,,,,,,,,,2016
United Kingdom,,,,8,4,7,,,12,,,,3,,,,,,,,,,,6,,4,,,,,,2,,5,3,,,,,,,,2016
Armenia,2,,,,,,,2,7,12,,,,2,5,,8,12,2,6,2,3,,12,,,,,4,10,4,3,,,,,,,4,1,10,4,2016
