Contestant,Sweden,Azerbaijan,San Marino,Latvia,Israel,Montenegro,Albania,Malta,Macedonia,Denmark,Austria,Norway,Spain,Finland,France,Greece,Lithuania,Estonia,Moldova,Armenia,Bulgaria,Iceland,Serbia,Australia,Italy,Germany,Portugal,Switzerland,Netherlands,Ireland,Georgia,Cyprus,Belarus,Romania,Hungary,Slovenia,Belgium,Poland,United Kingdom,Croatia,Czech Republic,Ukraine,Year
Israel,,4,,,,,,7,,,,5,,,6,,,,,,8,,1,,,,,,,,,,1,2,,,,,,,,,2017
Poland,,6,1,,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,2,,,4,,,,,1,,2017
Belarus,,12,,2,1,,,2,,,7,,,,,3,,,3,,2,,,,,,,,,,,,,,,,,,1,5,,12,2017
Austria,4,,,6,,1,,,,7,,,3,,1,,5,,2,1,12,,4,3,1,2,10,,3,7,5,,4,1,,,3,,3,1,4,,2017
Armenia,,,4,,,4,7,1,,1,,,,,,8,3,,6,,4,,5,1,4,,,,,,3,,,,2,3,,2,,,,,2017
Netherlands,3,,7,,,,,,,5,12,4,1,,4,,2,4,,,10,,,4,,7,3,7,,4,1,,5,12,8,1,,8,4,8,8,3,2017
Moldova,8,10,,1,3,,,,6,3,,2,7,3,,7,,,,8,,,7,10,8,,6,,,,,,,8,,,,,6,,3,4,2017
Hungary,,,,,,,,3,,,5,,,,,,,1,1,,,4,10,,,1,,3,,,,,,,,,,,,12,,8,2017
Italy,6,,3,,2,8,12,12,,,6,7,10,7,10,4,8,,,2,,5,8,,,,,2,,,2,10,,,,2,,,,,,,2017
Denmark,5,,,,,,,,7,,,8,,4,,,,5,,,,3,,5,,,,,8,,,,3,5,5,,,,2,3,6,,2017
Portugal,12,8,12,12,12,,6,10,10,10,8,10,12,8,12,5,12,8,7,12,,12,12,7,5,10,,12,12,5,12,8,10,6,12,12,8,12,12,7,12,10,2017
Azerbaijan,,,5,,,,2,,,,,,,,,10,,,5,,5,,,,12,,12,,,1,10,1,,,4,,4,1,,,,6,2017
Croatia,,1,,,,5,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,7,2017
Australia,10,,,5,,,4,,8,8,,3,8,10,2,,1,7,4,,,10,3,,,5,5,4,4,,,4,7,4,7,7,6,7,10,6,10,2,2017
Greece,,5,,,,12,1,,,,,,2,,,,,,,10,6,,,,,,,,,,,12,,,,,,,,,,,2017
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Norway,,,10,7,5,,,,2,6,3,,,1,7,,10,10,,5,,1,,,3,12,2,5,7,2,7,,6,,6,,7,3,,2,,,2017
United Kingdom,,,6,4,,,8,,3,,1,1,,2,3,1,,6,,4,,7,,12,,6,,,5,,,5,,,3,10,2,5,,,5,,2017
Cyprus,2,,,,,,,,,,,,,5,,12,,,,7,,,,,,,1,,,,4,,,,,,5,,,,,,2017
Romania,,3,,3,,10,3,5,4,,,,,,,6,,,12,,3,,,,,,,,1,8,,,,,,,,,,,,,2017
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2017
Ukraine,,7,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2017
Belgium,1,,8,10,8,6,,,,2,2,,4,,,,4,2,,,,2,,,7,,8,6,2,12,,3,,,,5,,10,5,,,1,2017
Sweden,,,,,10,7,,,1,12,4,6,5,12,8,,6,3,8,6,,8,2,6,10,4,7,10,6,6,8,6,8,7,1,6,12,4,8,4,7,,2017
Bulgaria,7,2,2,8,7,2,10,8,12,4,10,12,6,6,5,2,7,12,10,,,6,6,8,2,8,,8,10,10,6,7,12,10,10,8,10,6,7,10,2,,2017
France,,,,,6,3,5,4,5,,,,,,,,,,,3,,,,,6,,4,1,,,,2,,,,,1,,,,,5,2017
