Contestant,Ukraine,Azerbaijan,Belarus,San Marino,Netherlands,Macedonia,Malta,Georgia,Spain,Austria,Denmark,United Kingdom,Sweden,Latvia,Albania,Croatia,Ireland,Romania,Czech Republic,Iceland,Moldova,Belgium,Norway,France,Italy,Australia,Estonia,Serbia,Cyprus,Armenia,Bulgaria,Greece,Hungary,Montenegro,Germany,Finland,Russia,Switzerland,Israel,Poland,Lithuania,Slovenia,Portugal,Year
Ukraine,,6,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2018
Spain,,,,,,,,,,,6,1,,,,,1,10,,,,1,2,,,7,,,7,,,,,,6,,,,,,,,2,2018
Slovenia,5,,4,6,1,2,,,,5,,,,1,,,,1,7,,,,,2,,,,,,,,,,,,,,,4,,,,3,2018
Lithuania,,,5,,7,,,2,,,,,,4,,12,,6,1,,,,3,,,3,10,,,,10,,5,,4,,3,8,,1,,,6,2018
Austria,7,,10,,10,,1,8,8,,8,12,10,7,,,5,12,5,12,3,12,8,7,7,5,12,4,2,1,12,,8,,10,7,,4,12,12,12,10,8,2018
Estonia,1,3,,5,4,12,,10,1,2,7,6,,8,,,3,3,,7,12,,,,4,8,,3,1,,,3,,5,2,,6,10,,,,5,12,2018
Norway,,,8,,3,,4,,,,,5,2,,,5,,,,,2,,,,12,,4,6,,,,,2,7,,,,,,,,,,2018
Portugal,,,,,2,,,,,,,,,,,,6,,,,,,,,,,3,,,,,,,,,,,3,,,7,,,2018
United Kingdom,,,,,,,,,,,,,,2,,2,,,,,,,,3,6,,,,,,,,,2,,,,,8,,,,,2018
Serbia,,10,,3,,8,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,12,,,,,,,,,,2018
Germany,,2,,10,12,3,,7,7,10,12,,1,3,6,,8,4,,6,4,5,12,8,10,10,6,10,,5,6,,,,,1,4,12,5,10,5,,,2018
Albania,,12,7,,,6,,4,,7,,7,,,,1,2,,6,10,,2,,,,,,1,6,,7,7,10,10,,,,,,7,,4,10,2018
France,12,,,,,,8,,6,,2,,5,10,7,6,4,,,3,,3,7,,,,,,3,4,5,5,,,,5,2,,,,10,2,5,2018
Czech Republic,4,,6,,,4,5,,4,3,,,,,1,4,,,,1,,7,,4,,1,,,5,6,8,,,,,,,,,,,3,,2018
Denmark,3,,3,,,,,1,,,,,,,,,,,,,,,,,8,,,,,,,,12,6,,3,,,2,,,,,2018
Australia,2,,2,2,,,3,,,,10,,8,6,,,,2,,,7,,6,10,,,,,,2,,,7,,7,,5,,7,4,,,,2018
Finland,,,,,,5,,,,,,4,3,,,,,,3,,,,,,,,2,,,,,,,,,,,,6,,,,,2018
Bulgaria,,5,,,,,2,6,,6,1,8,6,,8,7,10,,4,,8,,,,,,7,,,,,,,,,10,,2,1,2,,,7,2018
Moldova,,7,,7,,,,,,,,,,,2,8,,7,,,,,,,,2,,5,10,10,,10,,8,,,12,,,,,6,,2018
Sweden,6,,1,8,8,7,7,12,2,8,4,2,,12,4,,,,8,5,,8,10,5,1,12,5,12,12,12,2,8,1,,12,8,10,5,10,6,8,12,,2018
Hungary,,8,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,6,,,,,,,3,3,2,,,2018
Israel,10,1,,12,5,1,6,3,10,12,3,10,7,,5,10,7,,12,8,10,6,,12,2,6,,2,,8,4,4,6,,1,12,8,1,,,6,1,1,2018
Netherlands,8,,,,,,,5,,1,,,,5,,,,8,,,1,10,4,6,,,1,7,,3,,,4,3,5,,,,,8,3,7,,2018
Ireland,,,,1,,,,,5,4,,3,4,,,3,,,10,4,,,1,1,5,4,,,,,1,,3,,8,2,,6,,5,4,,,2018
Cyprus,,4,12,,6,10,12,,12,,5,,12,,10,,12,5,,2,6,4,5,,3,,8,,,7,3,12,,1,3,6,7,7,,,1,8,,2018
Italy,,,,4,,,10,,3,,,,,,12,,,,,,,,,,,,,8,8,,,1,,4,,4,1,,,,,,4,2018
