Contestant,Portugal,Azerbaijan,Malta,North Macedonia,San Marino,Netherlands,Montenegro,Estonia,Poland,Norway,Spain,Austria,United Kingdom,Italy,Albania,Hungary,Moldova,Ireland,Belarus,Armenia,Romania,Cyprus,Australia,Russia,Germany,Belgium,Sweden,Croatia,Lithuania,Serbia,Iceland,Georgia,Greece,Latvia,Czech Republic,Denmark,France,Finland,Switzerland,Slovenia,Israel,Year
Malta,,10,,5,,8,6,,4,,,,,8,,,1,,12,4,,3,,6,3,,2,,,,,,5,1,3,,,1,,1,4,2019
Albania,,7,2,8,7,,8,,,,,,,1,,,,,,,2,2,,3,,,,,,,,,3,,,,,,,,,2019
Czech Republic,10,,,,,4,1,8,,12,6,3,1,4,,12,8,,,3,8,,5,,,5,1,7,7,4,6,12,,3,,,3,4,,12,1,2019
Germany,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,5,,,,,,,8,,,6,,,2019
Russia,,12,10,6,10,5,10,6,,,2,,4,,1,,5,3,1,5,6,10,4,,,,3,2,1,,,,10,4,,3,,,3,,,2019
Denmark,,,,,,7,3,2,5,4,,,3,12,,6,4,,,,,,,,1,1,,,,2,,7,,7,,,1,,,4,,2019
San Marino,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,,2019
North Macedonia,5,8,3,,1,3,7,,8,10,,12,12,10,12,10,12,5,10,10,7,,7,4,7,,,10,,12,8,,1,8,7,10,7,7,12,2,,2019
Sweden,2,,5,,,12,,12,,8,12,6,10,2,6,4,2,12,2,12,1,7,12,,2,,,5,8,8,12,2,,10,12,12,10,12,8,7,6,2019
Slovenia,3,4,,,,,,,10,,1,,,,,,,,,,,,,,,,,,4,,,4,4,,10,,,6,,,,2019
Cyprus,,3,6,1,5,1,5,,,1,5,,,,7,,,,8,,,,,8,,2,7,,,,,6,12,,,,,,,,,2019
Netherlands,12,,7,7,3,,,7,,7,8,8,6,,,1,3,8,6,6,5,5,6,,8,6,12,6,12,,7,8,,12,6,7,12,8,10,6,12,2019
Greece,,6,4,,8,,,,,,,,,,4,,,,3,,,12,,10,,3,,,,,,,,,,,,,,,,2019
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Norway,4,,,,,,,,1,,,1,,,,,7,6,,,,,,,5,,4,,,,,,,,,5,,,7,,,2019
United Kingdom,,,,,,,,,,2,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,1,,,2019
Iceland,,,,2,6,,,,3,,,,,,,,,,,,,,8,2,,10,,,6,,,,,,4,,5,,,,,2019
Estonia,,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,6,,,,5,1,2,,,,,8,2019
Belarus,,1,,,,,,1,,,,,,,,8,,,,1,,,,7,,,,,,,,,,,,,,,,,,2019
Azerbaijan,8,,8,4,4,,,5,2,5,7,4,7,7,8,5,6,7,5,,10,6,2,12,,,5,,10,3,4,10,8,6,5,4,6,2,,10,7,2019
France,,,,,,,,3,6,,,5,2,3,3,,,,,,,4,10,,4,8,,3,,1,1,5,,,2,,,,2,3,2,2019
Italy,6,5,12,12,12,6,2,,,3,4,7,,,5,7,,1,7,8,,8,,,12,12,8,12,3,10,3,,7,2,8,1,8,5,5,8,10,2019
Serbia,,,,,,,12,4,7,,,2,,,,,,,,,3,,1,,,,,4,,,2,,,,,,,,,,,2019
Switzerland,1,,,3,2,10,,10,,6,3,10,5,,10,3,,10,4,7,4,1,,,6,7,10,8,,5,5,3,,,,6,2,3,,5,3,2019
Australia,7,2,,10,,2,4,,12,,10,,8,6,2,,10,4,,,12,,,,10,4,6,,2,7,10,,2,,,,4,10,4,,5,2019
Spain,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2019
