Contestant,Netherlands,San Marino,North Macedonia,Malta,Ukraine,Albania,Estonia,Azerbaijan,Portugal,Germany,Belgium,Norway,Israel,Poland,Greece,Moldova,Bulgaria,Serbia,Iceland,Cyprus,Latvia,Spain,Switzerland,Denmark,France,Armenia,Montenegro,Romania,Ireland,Slovenia,Georgia,Croatia,Lithuania,Austria,Finland,United Kingdom,Sweden,Australia,Czech Republic,Italy,Year
Czech Republic,,,,3,1,,,,,,2,,2,,2,,,3,2,,,,,,2,,,,7,,,,,,,,5,4,,,2022
Romania,,,,,,,,,,1,,,,,7,,,,,,,4,,,,,,,,,,,,,,,,,,,2022
Portugal,8,,,,10,1,7,7,,,5,10,,7,3,2,4,7,5,,6,,5,8,1,8,4,7,4,3,7,10,8,10,,3,,6,5,,2022
Finland,,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,2022
Switzerland,10,1,1,,6,,,,2,2,,1,,5,,7,7,,,,3,1,,2,,,,5,,5,,1,7,1,,2,,,6,3,2022
France,,,,,,,,1,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,2022
Norway,3,,,,,,,,,3,,,,,,,2,,8,,5,,1,,,,,,,,,,,5,4,,3,,2,,2022
Armenia,,,,,2,4,,,1,,,4,,,,,5,,,,,,,,7,,,,,,,,,6,1,,2,,,8,2022
Italy,,3,7,7,,12,10,10,,,8,,8,4,1,,1,,6,1,,10,2,,,10,10,4,6,12,10,4,4,3,2,,,3,,,2022
Spain,5,12,12,12,,5,,5,12,8,10,7,3,1,5,3,8,4,3,6,,,8,4,5,12,8,1,12,1,5,6,5,2,,10,12,12,7,,2022
Netherlands,,,,,8,6,1,4,7,4,,5,1,3,4,,,,4,,4,,10,10,4,4,3,3,,7,4,2,6,8,5,,,,,12,2022
Ukraine,,2,,,,7,,6,8,10,6,3,7,12,,12,,,10,7,12,,3,5,10,6,6,12,3,8,6,8,12,,,,,7,4,,2022
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Lithuania,,,,,,,2,,5,,,2,,,,,,2,1,,1,,,3,,,2,,,10,,7,,,,,,,,,2022
Azerbaijan,,7,4,2,5,3,3,,,6,3,,,,12,1,3,12,,10,,12,,,,,1,,,,,,,,3,7,7,2,,,2022
Belgium,6,,3,,,2,,,,,,,4,,,4,6,8,,2,,5,,,6,,,,,,,,,,,,1,5,,7,2022
Greece,12,10,,1,7,,6,3,4,,,12,,2,,,12,,,12,7,2,12,12,3,2,,2,,4,3,3,,4,6,4,,,3,10,2022
Iceland,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,1,,,,2,,,,,,,,2022
Moldova,2,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,5,2022
Sweden,1,5,6,10,4,8,12,8,,7,7,8,12,10,,8,,5,12,5,10,7,7,7,,5,7,10,10,,8,5,3,7,12,12,,10,10,,2022
Australia,7,6,5,6,3,,8,,,5,1,,5,6,8,6,,,,8,2,8,4,,,,,6,2,,,,,,8,6,10,,1,2,2022
United Kingdom,4,8,8,8,12,10,4,12,10,12,12,6,10,8,,10,10,1,7,3,8,3,6,6,12,,5,8,8,2,12,,10,12,10,,8,,12,6,2022
Poland,,4,2,4,,,,2,,,,,6,,10,,,,,,,,,,8,,,,,,2,,,,,8,,,,,2022
Serbia,,,10,,,,,,3,,4,,,,,,,,,4,,6,,,,,12,,5,6,,12,1,,7,1,4,8,,4,2022
Estonia,,,,5,,,,,,,,,,,,5,,10,,,,,,,,3,,,,,,,,,,5,6,1,8,,2022
