Contestant,Ukraine,Italy,Latvia,Netherlands,Malta,Moldova,Ireland,San Marino,Azerbaijan,Austria,France,Finland,Belgium,Germany,Portugal,Croatia,Estonia,Armenia,Poland,Romania,Iceland,Serbia,Cyprus,Norway,Switzerland,Australia,Denmark,Spain,Israel,Sweden,Georgia,Czechia,Slovenia,Greece,Albania,Lithuania,United Kingdom,Year
Austria,,,,1,1,,,6,,,10,2,12,2,,,,2,,,8,6,10,,7,6,7,,6,,,,3,7,,8,,2023
Portugal,,,,5,3,8,,,,,5,3,,,,1,,,,,,,,,,2,,6,,,,,,10,,,,2023
Switzerland,,4,,6,6,,,,4,4,3,10,,,2,,,,2,,,,2,2,,,,,,6,,,1,2,7,,,2023
Poland,6,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,2,,,,,,,,,2023
Serbia,,1,,,,,,,,,,,,3,4,4,,,,,1,,,,,,,,,,,,,1,,,,2023
France,,,,3,,,5,,,,,7,1,,,,,7,,,,4,,,,,6,5,,10,,,,,,6,,2023
Cyprus,,,6,,5,4,,,,2,,1,,,,,,5,10,6,,,,7,,3,5,,1,1,3,,,4,4,1,,2023
Spain,,,8,7,,3,,2,7,,,,6,7,10,6,2,6,,,3,3,6,1,3,4,,,,,,3,2,,1,,5,2023
Sweden,12,8,10,12,12,12,12,4,10,10,6,12,8,12,5,10,12,10,7,10,7,5,12,10,6,7,12,12,12,,4,10,7,6,12,12,12,2023
Albania,,,,,,1,,,8,,,,,,,,,,,5,,,,,,,,,,,,,,3,,,,2023
Italy,2,,3,,10,10,,12,6,12,2,6,7,4,,12,5,,6,12,,2,5,6,8,1,,10,,7,8,4,12,,2,,2,2023
Estonia,5,6,12,,,7,,10,1,,,,,10,8,3,,,8,8,,,,,10,8,,7,5,2,5,2,10,,8,5,6,2023
Finland,,,,10,8,,8,,3,8,8,,5,,,7,10,8,,,10,7,3,12,,5,8,1,8,12,1,5,,,,3,,2023
Czechia,7,7,,8,,,3,,,5,4,8,3,5,7,,,,,,6,1,1,4,12,,,,4,3,,,6,,,,,2023
Australia,8,,,,,5,4,5,5,,,,4,8,12,,8,,4,3,12,,8,5,2,,2,,,,2,7,4,5,3,4,10,2023
Belgium,,2,2,4,,,10,7,,3,,5,,,6,,6,,5,2,5,,,,,12,3,4,3,,12,,5,12,5,7,7,2023
Armenia,,5,1,,,2,6,,,1,7,,,,,,3,,1,,,,4,,5,,,3,,,10,8,,,10,,3,2023
Moldova,,,,,,,,3,,,,,,,,2,,,,7,,,,8,,,,,,,,,,,,,,2023
Ukraine,,10,4,,,6,,,2,,1,,,,,,7,3,,,,,,,,,,,7,,,12,,,,2,,2023
Norway,,,,,2,,,1,,,,,,6,1,,,4,,,4,,,,4,,10,2,10,8,,,,,,,,2023
Germany,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,2023
Lithuania,10,3,7,,4,,1,8,,7,,,,1,,,1,,3,,,,,,,10,4,,,,6,,8,,,,8,2023
Israel,1,12,5,2,7,,7,,12,,12,,10,,,8,4,12,12,4,,10,7,3,1,,,8,,5,7,,,8,6,10,4,2023
Slovenia,3,,,,,,,,,6,,,,,,5,,,,,,12,,,,,,,,,,6,,,,,1,2023
Croatia,,,,,,,,,,,,,,,3,,,,,,,8,,,,,,,,,,,,,,,,2023
United Kingdom,4,,,,,,2,,,,,4,,,,,,,,,,,,,,,1,,,4,,,,,,,,2023
