Contestant,Ukraine,United Kingdom,Luxembourg,Azerbaijan,San Marino,Malta,Croatia,Albania,Czechia,Israel,Australia,Denmark,Spain,Norway,Germany,Armenia,Slovenia,Georgia,Switzerland,Moldova,Greece,Estonia,Netherlands,Austria,France,Italy,Finland,Portugal,Belgium,Iceland,Latvia,Ireland,Poland,Cyprus,Lithuania,Serbia,Sweden,Year
Sweden,8,6,1,5,2,,2,,8,,5,5,8,3,12,,,,,1,1,6,,,,6,7,3,3,1,5,10,5,2,5,5,,2024
Ukraine,,,5,1,,,7,,12,8,1,6,,4,4,,,5,2,12,2,10,2,6,10,,8,6,1,3,8,2,10,1,6,1,3,2024
Germany,7,2,4,,1,,,,5,10,,,5,6,,1,,2,,,5,4,5,,8,4,3,2,8,2,4,6,4,,1,,,2024
Luxembourg,1,4,,8,,4,5,4,,12,2,1,,,3,,5,,,2,3,,,,7,,4,,,,,8,,4,,,6,2024
Israel,,,,,,3,,,,,,,,8,8,,,3,,3,,5,,,3,,,,5,,2,,,8,4,,,2024
Lithuania,5,,,,,,,,,,,,,,1,,,,,5,,2,4,,1,,,7,,,,,,,,7,,2024
Spain,,,,,6,,,,,,,,,,,,,,1,,,,,4,,7,1,,,,,,,,,,,2024
Estonia,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,2024
Ireland,10,7,,10,7,7,8,,7,,12,7,10,,,,1,,10,,,,,3,,10,6,10,4,7,,,1,,3,2,,2024
Latvia,,3,8,,,5,,,,,,4,4,,,,,8,,,,1,1,,,,,,,,,,2,,,,,2024
Greece,,,,,,,,7,,,,,,2,,4,2,,12,,,,,,4,,,,,,,,,7,,3,,2024
United Kingdom,,,,,,,,,,,4,,2,,,,,,3,,,,,,,,,4,6,8,3,4,,,,4,8,2024
Norway,,,,,,,,6,1,,,,,,,,,,,,,,,1,,,2,,,,,,,,2,,,2024
Italy,2,5,,6,10,8,6,10,,6,7,,1,5,2,8,3,7,6,10,8,3,6,10,,,,5,7,,,,7,3,,6,7,2024
Serbia,,,,,,,3,1,,,,2,,,,5,4,,,,,,,,,,,1,,,,1,,5,,,,2024
Finland,,,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Portugal,3,12,3,,5,1,12,5,3,3,,,3,,,10,8,4,7,4,6,,8,,12,,,,2,4,1,5,6,,8,,4,2024
Armenia,,,2,,8,,,8,6,,,3,,7,7,,7,6,4,,4,,3,7,6,3,,8,,5,7,,,,,,,2024
Cyprus,,1,7,2,3,,1,,,,6,,,,,2,,,,,10,,,,,,,,,,,,,,,,2,2024
Switzerland,12,10,12,12,12,12,,12,10,5,10,12,12,12,5,7,10,12,,7,12,12,12,12,5,12,12,12,10,6,12,12,12,6,12,10,12,2024
Slovenia,,,,3,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Croatia,4,8,6,4,,10,,3,2,4,8,8,,,6,6,6,1,8,8,,8,7,8,2,8,10,,,10,6,7,8,12,10,12,10,2024
Georgia,,,,7,,2,,,,2,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,2024
France,6,,10,,,6,4,,4,1,,10,7,10,10,12,12,10,5,6,7,7,10,5,,1,5,,12,12,10,3,3,10,7,8,5,2024
Austria,,,,,,,,,,7,,,6,,,,,,,,,,,,,5,,,,,,,,,,,1,2024
