Contestant,Sweden,Azerbaijan,Malta,Netherlands,Slovenia,Armenia,Luxembourg,San Marino,Ukraine,Norway,Austria,France,Italy,Portugal,Denmark,Croatia,Latvia,Ireland,Poland,Montenegro,Greece,Serbia,Czechia,United Kingdom,Spain,Finland,Australia,Germany,Belgium,Israel,Albania,Lithuania,Iceland,Georgia,Cyprus,Estonia,Switzerland,Year
Norway,4,,,,2,,,,,,,,,,,1,,,2,,,,6,,,,,1,,,,,6,,,,,2025
Luxembourg,,,,6,,,,,3,,1,,,,,,3,,,4,,,,4,,,,,,2,,,,,,,,2025
Estonia,,7,3,,7,2,3,7,5,4,3,,10,3,,5,1,,,,,3,,3,,4,3,,10,,,7,3,,,,5,2025
Israel,,12,,5,,,1,,2,,,7,,,3,6,,7,,,1,,,,,2,,3,,,5,,,1,5,,,2025
Lithuania,,,,4,,,,3,,,,,,,,,7,,6,3,,,5,6,,,,,,,,,,,,,,2025
Spain,2,5,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,10,,,,,,,2025
Ukraine,5,8,,,5,4,,4,,1,,,2,8,2,2,,,,,,4,,,2,,,,,4,,2,,6,,,1,2025
United Kingdom,,,,,,,6,2,10,7,7,,12,2,4,,,2,1,,,,10,,6,5,,,,,,,5,,,5,4,2025
Austria,12,,7,12,10,8,10,,1,12,,4,,6,5,10,12,12,7,8,10,8,,8,7,12,7,12,12,6,7,4,8,,7,7,7,2025
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
Latvia,,,,3,,1,2,8,6,6,4,,,7,12,7,,,,,,1,,12,,,10,,7,7,,12,,8,,3,,2025
Netherlands,8,3,,,4,3,7,,,5,2,3,,5,,,,10,10,2,8,,7,,10,,,,3,,3,8,10,7,8,1,6,2025
Finland,6,,6,,,10,,,,8,12,,1,,6,,10,4,,,,,,5,,,2,,4,,,,1,,,10,3,2025
Italy,,10,4,,12,,,12,8,,,6,,12,8,12,,,8,,4,,3,,4,,,5,5,3,,10,2,12,3,4,12,2025
Poland,,4,,,,,,,,,,1,,,,,,,,,,,,,,,5,2,2,1,,,,,,2,,2025
Germany,,2,,,,,4,,12,,,,8,,,,2,,,,5,10,12,,3,1,,,1,10,,5,,2,,,,2025
Greece,,,10,,,,,,,,,8,,1,,4,,3,4,12,,6,,1,,3,12,6,,12,6,,,5,12,,,2025
Armenia,,,12,,,,,,,,,10,,,1,,4,1,,1,3,2,,,,,,,,5,,,,3,,,,2025
Switzerland,10,1,2,10,8,7,8,10,7,3,,2,4,10,10,8,8,,12,7,6,7,,,12,6,1,7,8,,8,3,7,4,6,12,,2025
Malta,1,,,,,5,,1,,,10,,5,,,,5,6,,5,,,2,7,5,7,8,8,,8,,,,,,,,2025
Portugal,,6,,7,1,,,6,4,,,,,,,,,,,,,,4,,,,,,,,1,6,,,,,2,2025
Denmark,,,,,,,,,,,8,,7,,,,,,,,,5,1,10,,,4,,,,,,,10,,,,2025
Sweden,,,1,8,6,6,5,,,10,5,,,,7,3,,5,,,7,,,,,10,6,4,6,,4,1,12,,2,8,10,2025
France,7,,8,2,3,12,12,5,,2,6,,,,,,6,8,3,6,12,12,8,2,8,8,,10,,,12,,4,,10,6,8,2025
San Marino,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,2,,,,1,,,2025
Albania,3,,,1,,,,,,,,12,3,4,,,,,5,10,2,,,,1,,,,,,,,,,4,,,2025
